timestamp,hashtags,tweets,replies,retweets,likes,username,location,friends,followers,verified,all_hashtags,all_hashtags_seg,tweets_clean,tweets_token,tweets_nonstop,tags_token,tags_nonstop,label
2020-10-01 23:49:31,peace,#ՀԱՂԹՈՒՄԵՆՔ #StopAzerbaijanAggression #StopAliev #Armenia #Artsakh #forVictory #peace #KimKardashian #KhloeKardashian #serjtankian #robkardashian,,,1,AniGharibyan5,"Los Angeles, CA",338,223,0,ՀԱՂԹՈՒՄԵՆՔ StopAzerbaijanAggression StopAliev Armenia Artsakh forVictory peace KimKardashian KhloeKardashian serjtankian robkardashian,stop azerbaijan aggression stop aliev armenia artsakh for victory peace kim kardashiankhloekardashia nserjtankianrobkardashi an,          ,[],[],"['stop', 'azerbaijan', 'aggression', 'stop', 'aliev', 'armenia', 'artsakh', 'for', 'victory', 'peace', 'kim', 'kardashiankhloekardashia', 'nserjtankianrobkardashi', 'an']","['stop', 'azerbaijan', 'aggression', 'stop', 'aliev', 'armenia', 'artsakh', 'victory', 'peace', 'kim', 'kardashiankhloekardashia', 'nserjtankianrobkardashi']",Azerbaijan_Armenia
2020-10-01 22:55:40,peace,"Our World is in dire need of #Peace and relief from #viruses, #plagues, ""#metals!"" and #violence.",,,1,AUTKumba,"Kumba, Cameroon",21,4,0,Peace viruses plagues metals violence,peace viruses plagues metals violence,Our World is in dire need of  and relief from    and ,"['our', 'world', 'is', 'in', 'dire', 'need', 'of', 'and', 'relief', 'from', 'and']","['world', 'dire', 'need', 'relief']","['peace', 'viruses', 'plagues', 'metals', 'violence']","['peace', 'viruses', 'plagues', 'metals', 'violence']",covid
2020-10-01 22:52:37,peace,Water Transfer With Transaqua Will Bring Peace ; Development to Lake Chad Basin http://lawrencefreemanafricaandtheworld.com/2020/10/01/water-transfer-with-transaqua-will-bring-peace-development-to-lake-chad-basin/… #LakeChad #LakeChadBsin #Transaqua #Watertransfer #Poverty #Africa #Nigeria #AbujaConference #peace,,,1,lfreemansafrica,,176,265,0,LakeChad LakeChadBsin Transaqua Watertransfer Poverty Africa Nigeria AbujaConference peace,lake chad lake chad bs in trans aqua water transfer poverty africa nigeria abuja conference peace,Water Transfer With Transaqua Will Bring Peace  Development to Lake Chad Basin          ,"['water', 'transfer', 'with', 'transaqua', 'will', 'bring', 'peace', 'development', 'to', 'lake', 'chad', 'basin']","['water', 'transfer', 'transaqua', 'bring', 'peace', 'development', 'lake', 'chad', 'basin']","['lake', 'chad', 'lake', 'chad', 'bs', 'in', 'trans', 'aqua', 'water', 'transfer', 'poverty', 'africa', 'nigeria', 'abuja', 'conference', 'peace']","['lake', 'chad', 'lake', 'chad', 'bs', 'trans', 'aqua', 'water', 'transfer', 'poverty', 'africa', 'nigeria', 'abuja', 'conference', 'peace']",Africa
2020-10-01 22:32:07,peace,"Խաղաղ գիշեր բոլորիս
#peace #StopAzerbaijaniAggression #NagornoKarabakh #Yerevan #ArmenianGenocide",,,,ase_casas,,8,5,0,peace StopAzerbaijaniAggression NagornoKarabakh Yerevan ArmenianGenocide,peace stop azerbaijani aggression nagorno karabakh yerevan armenian genocide,Խաղաղ գիշեր բոլորիս    ,"['խաղաղ', 'գիշեր', 'բոլորիս']","['խաղաղ', 'գիշեր', 'բոլորիս']","['peace', 'stop', 'azerbaijani', 'aggression', 'nagorno', 'karabakh', 'yerevan', 'armenian', 'genocide']","['peace', 'stop', 'azerbaijani', 'aggression', 'nagorno', 'karabakh', 'yerevan', 'armenian', 'genocide']",Azerbaijan_Armenia
2020-10-01 22:29:50,peace,"#Peace cannot be kept by force. It can only be achieved by understanding."" —Albert Einstein
#World speak up, make them to understand 
#StopErdogan #StopCriminal 
#StopAliev #StopWar  #StopAzerbaijaniAggression",,,1,v_gayane,Armenia,87,52,0,Peace World StopErdogan StopCriminal StopAliev StopWar StopAzerbaijaniAggression,peace world stop erdogan stop criminal stop aliev stop wars top azerbaijani aggression, cannot be kept by force It can only be achieved by understanding —Albert Einstein speak up make them to understand      ,"['can', 'not', 'be', 'kept', 'by', 'force', 'it', 'can', 'only', 'be', 'achieved', 'by', 'understanding', '—albert', 'einstein', 'speak', 'up', 'make', 'them', 'to', 'understand']","['kept', 'force', 'achieved', 'understanding', '—albert', 'einstein', 'speak', 'make', 'understand']","['peace', 'world', 'stop', 'erdogan', 'stop', 'criminal', 'stop', 'aliev', 'stop', 'wars', 'top', 'azerbaijani', 'aggression']","['peace', 'world', 'stop', 'erdogan', 'stop', 'criminal', 'stop', 'aliev', 'stop', 'wars', 'top', 'azerbaijani', 'aggression']",Azerbaijan_Armenia
2020-10-01 22:14:37,peace,"Lots of proofs and evidences that the aggressors are Azerbaijan and Turkey
#Armenia and #Artsakh for #Peace
#ArtsakhStrong #StopAzerbaijaniAggression #StopTurkishAggression",,1,1,MariamGrigorya7,,575,256,0,Armenia Artsakh Peace ArtsakhStrong StopAzerbaijaniAggression StopTurkishAggression,armenia artsakh peace artsakh strong stop azerbaijani aggression stop turkish aggression,Lots of proofs and evidences that the aggressors are Azerbaijan and Turkey and  for   ,"['lots', 'of', 'proofs', 'and', 'evidences', 'that', 'the', 'aggressors', 'are', 'azerbaijan', 'and', 'turkey', 'and', 'for']","['lots', 'proofs', 'evidences', 'aggressors', 'azerbaijan', 'turkey']","['armenia', 'artsakh', 'peace', 'artsakh', 'strong', 'stop', 'azerbaijani', 'aggression', 'stop', 'turkish', 'aggression']","['armenia', 'artsakh', 'peace', 'artsakh', 'strong', 'stop', 'azerbaijani', 'aggression', 'stop', 'turkish', 'aggression']",Azerbaijan_Armenia
2020-10-01 21:35:46,peace,"Yerevan wants #Peace 
Baku wants Yerevan...

#StopAzerbaijaniAggression #ArtsakhStrong #Armenia",,,2,lusinmkrt,Armenia,463,403,0,Peace StopAzerbaijaniAggression ArtsakhStrong Armenia,peace stop azerbaijani aggression artsakh strong armenia,Yerevan wants  Baku wants Yerevan  ,"['yerevan', 'wants', 'baku', 'wants', 'yerevan']","['yerevan', 'wants', 'baku', 'wants', 'yerevan']","['peace', 'stop', 'azerbaijani', 'aggression', 'artsakh', 'strong', 'armenia']","['peace', 'stop', 'azerbaijani', 'aggression', 'artsakh', 'strong', 'armenia']",Azerbaijan_Armenia
2020-10-01 21:15:44,peace,"Love and Respect for this Man! 

#StopAzerbaijaniAggression #ArtsakhStrong #Artsakh #forVictory #Armenia #Armenians #Peace",,,1,AslanyanMilen,,196,84,0,StopAzerbaijaniAggression ArtsakhStrong Artsakh forVictory Armenia Armenians Peace,stop azerbaijani aggression artsakh strong artsakh for victory armenia armenians peace,Love and Respect for this Man       ,"['love', 'and', 'respect', 'for', 'this', 'man']","['love', 'respect', 'man']","['stop', 'azerbaijani', 'aggression', 'artsakh', 'strong', 'artsakh', 'for', 'victory', 'armenia', 'armenians', 'peace']","['stop', 'azerbaijani', 'aggression', 'artsakh', 'strong', 'artsakh', 'victory', 'armenia', 'armenians', 'peace']",Azerbaijan_Armenia
2020-10-01 21:05:44,peace,"Happy Independence Day Nigeria. 
60th Year as a Nation. God Bless Nigeria,  and all the beautiful people  of Nigeria. #greatness #african #independence #keeponmoving #peace #unity https://instagram.com/p/CF0LwkxHeDB/?igshid=1xxihvj8or4o2…",,,,seyimusic,washington dc/Lagos,579,"3,696",0,greatness african independence keeponmoving peace unity,greatness african independence keep on moving peace unity,Happy Independence Day Nigeria th Year as a Nation God Bless Nigeria  and all the beautiful people  of Nigeria       ,"['happy', 'independence', 'day', 'nigeria', 'th', 'year', 'as', 'a', 'nation', 'god', 'bless', 'nigeria', 'and', 'all', 'the', 'beautiful', 'people', 'of', 'nigeria']","['happy', 'independence', 'day', 'nigeria', 'th', 'year', 'nation', 'god', 'bless', 'nigeria', 'beautiful', 'people', 'nigeria']","['greatness', 'african', 'independence', 'keep', 'on', 'moving', 'peace', 'unity']","['greatness', 'african', 'independence', 'keep', 'moving', 'peace', 'unity']",Africa
2020-10-01 21:03:48,peace,#Armenians  in #LosAngeles  Whole world should know that we will #win! Thats a #victory for #Peace #StopAzerbaijaniAggression #StopAliyev #StopErdogan #ArtsakhStrong #Stepanakert #NKpeace,,2,2,96_anushik,,532,341,0,Armenians LosAngeles win victory Peace StopAzerbaijaniAggression StopAliyev StopErdogan ArtsakhStrong Stepanakert NKpeace,armenians los angeles win victory peace stop azerbaijani aggression stop aliyev stop erdogan artsakh strong stepanakert nk peace,  in   Whole world should know that we will  Thats a  for       ,"['in', 'whole', 'world', 'should', 'know', 'that', 'we', 'will', 'thats', 'a', 'for']","['whole', 'world', 'know', 'thats']","['armenians', 'los', 'angeles', 'win', 'victory', 'peace', 'stop', 'azerbaijani', 'aggression', 'stop', 'aliyev', 'stop', 'erdogan', 'artsakh', 'strong', 'stepanakert', 'nk', 'peace']","['armenians', 'los', 'angeles', 'win', 'victory', 'peace', 'stop', 'azerbaijani', 'aggression', 'stop', 'aliyev', 'stop', 'erdogan', 'artsakh', 'strong', 'stepanakert', 'nk', 'peace']",Azerbaijan_Armenia
