,timestamp,hashtags,tweets,replies,retweets,likes,username,location,friends,followers,verified,all_hashtags,all_hashtags_seg,tweets_prep,tweets_clean,label
7,2020-09-27 23:28:39,peace,"On July 15 Ilham #Aliyev  stated ""What kind of negotiations can be held on COVID with the enemy country?! This is nonsense.”How can the intl community expect this man 2 negotiate #peace? Stop calling on “both sides”,call on the aggressor!! #StopAzerbaijaniAggression #StopAliyev",,,2.0,TheArmenianBoy,IN GOD'S HANDS,"2,805","1,040",0,Aliyev peace StopAzerbaijaniAggression StopAliyev,aliyev peace stop azerbaijani aggression stop aliyev,"On July  Ilham   stated ""What kind of negotiations can be held on COVID with the enemy country?! This is nonsense.”How can the intl community expect this man  negotiate ? Stop calling on “both sides”,call on the aggressor!!  ",On July  Ilham   stated What kind of negotiations can be held on COVID with the enemy country This is nonsense”How can the intl community expect this man  negotiate  Stop calling on “both sides”call on the aggressor  ,Azerbaijan_Armenia
12,2020-09-27 23:18:02,peace,"Distance Reiki is effective, safe and healing.  #Reiki #quarantine #distanceReiki #globalconnection #peace #love #healing #intention #worldevents #pandemic #solutions",,,1.0,ColleenBenelli,"Portland, Oregon",265,868,0,Reiki quarantine distanceReiki globalconnection peace love healing intention worldevents pandemic solutions,reiki quarantine distance reiki global connection peace love healing intention world events pandemic solutions,"Distance Reiki is effective, safe and healing.            ",Distance Reiki is effective safe and healing            ,covid
29,2020-09-27 23:08:32,peace,tw // war  I hope u never wake up like i did today #ArtsakhStrong #Peace,,1.0,1.0,_ATEEZSTAR_,Planet Earth ♡ she/her ☆ 23,322,189,0,ArtsakhStrong Peace,artsakh strong peace,tw // war  I hope u never wake up like i did today  ,tw  war  I hope u never wake up like i did today  ,Azerbaijan_Armenia
34,2020-09-27 23:00:51,peace,Peace people peace  #armenia #Azarbaijan #peace   Diana Gurtskaya - Peace Will Come - Eurovision 2008  Georgia https://youtu.be/VHadSSYljmE μέσω @YouTube,,,,_kardashians_gr,United States,151,87,0,armenia Azarbaijan peace,armenia azarbaijan peace,Peace people peace       Diana Gurtskaya - Peace Will Come - Eurovision   Georgia  μέσω ,Peace people peace       Diana Gurtskaya  Peace Will Come  Eurovision   Georgia  μέσω ,Azerbaijan_Armenia
41,2020-09-28 23:42:20,peace,#NobelPeacePrize #Trump2020 #FreeHumanity #Peace,,,,Gab_ai_sfujioka,"Orlando, FL","2,082","1,394",0,NobelPeacePrize Trump2020 FreeHumanity Peace,nobel peace prize trump2020 free humanity peace,   ,   ,USA
43,2020-09-28 23:37:13,peace,"It is easy to react to what is happening in our world with feelings of #worry and #anxiety. If you want to feel a little more #peace #calm and #kindness, #Logosynthesis can help. Check out this @YouTube video. #COVID19 @WHO  @healthylivingp",,,,CaswellCathy,"Waverley, Nova Scotia",700,280,0,worry anxiety peace calm kindness Logosynthesis COVID19,worry anxiety peace calm kindness logo synthesis covid19,"It is easy to react to what is happening in our world with feelings of  and . If you want to feel a little more   and ,  can help. Check out this  video.    ",It is easy to react to what is happening in our world with feelings of  and  If you want to feel a little more   and   can help Check out this  video    ,covid
67,2020-09-28 23:04:37,peace,#peace #Armenia #Artsakh #strong #ArmeniaStrong  #StopAzeriAgression,,,,shush_av,,860,"1,127",0,peace Armenia Artsakh strong ArmeniaStrong StopAzeriAgression,peace armenia artsakh strong armenia strong stop azeri agression,      ,      ,Azerbaijan_Armenia
69,2020-09-28 23:03:31,peace,Trump Rally turns people into TRUMP Supporters - Your Thoughts? https://youtu.be/gM64JbDO2To via @YouTube  #Peace #Trump2020,,,,cnnisbiased,USA,"4,576","2,382",0,Peace Trump2020,peace trump2020,Trump Rally turns people into TRUMP Supporters - Your Thoughts?  via    ,Trump Rally turns people into TRUMP Supporters  Your Thoughts  via    ,USA
76,2020-09-28 22:58:20,peace,"Ważniaki z biznesu zbrojeniowego testują nową broń... Kto wiedział, że w Armenii działają 3 przejścia graniczne. 2 do Gruzji i 1 do Iranu. O ile dalej działają... #Armenia #Azerbejdżan #peace",,,,Trader2020V,Malta,128,5,0,Armenia Azerbejdżan peace,armenia a zerbe jd an peace,"Ważniaki z biznesu zbrojeniowego testują nową broń... Kto wiedział, że w Armenii działają  przejścia graniczne.  do Gruzji i  do Iranu. O ile dalej działają...   ",Ważniaki z biznesu zbrojeniowego testują nową broń Kto wiedział że w Armenii działają  przejścia graniczne  do Gruzji i  do Iranu O ile dalej działają   ,Azerbaijan_Armenia
78,2020-09-28 22:57:22,peace,Que de talent et de passion  #peace #passion #vision  #art #africa #guinea #africanart #guineangirl    #africanbeauty #cinematography #cinematic #talent #mode #model #actor #fixeurdeproductioninde #documentary #love https://instagram.com/p/CFsqJe5hJ7V/?igshid=mz39rjn25ai5…,,,,KaniCisse,Guinée,89,59,0,peace passion vision art africa guinea africanart guineangirl africanbeauty cinematography cinematic talent mode model actor fixeurdeproductioninde documentary love,peace passion vision art africa guinea african art guinean girl african beauty cinematography cinematic talent mode model actor fix eur de production in de documentary love,Que de talent et de passion                        …,Que de talent et de passion                        …,Africa
80,2020-09-28 22:53:00,peace,Toute une signification  #peace #passion #vision  #art #africa #guinea #africanart #guineangirl    #africanbeauty #cinematography #cinematic #talent #mode #model #actor #fixeurdeproductioninde #documentary #love https://instagram.com/p/CFsppfyhJt0/?igshid=kelp0hekyc8f…,,,,KaniCisse,Guinée,89,59,0,peace passion vision art africa guinea africanart guineangirl africanbeauty cinematography cinematic talent mode model actor fixeurdeproductioninde documentary love,peace passion vision art africa guinea african art guinean girl african beauty cinematography cinematic talent mode model actor fix eur de production in de documentary love,Toute une signification                        …,Toute une signification                        …,Africa
81,2020-09-28 22:50:36,peace,"I need to seek Christ often because my nature is not a peaceful one. I worry and overthink. When I go to Christ, I stop trying to control everything. Then my peace returns. #Fibromyalgia #peace #Quarantine #lockdown #covid19 #homesacrificial #JesusIsLord",,,,GlenysRHicks,Australia,594,371,0,Fibromyalgia peace Quarantine lockdown covid19 homesacrificial JesusIsLord,fibromyalgia peace quarantine lockdown covid19 home sacrificial jesus is lord,"I need to seek Christ often because my nature is not a peaceful one. I worry and overthink. When I go to Christ, I stop trying to control everything. Then my peace returns.       ",I need to seek Christ often because my nature is not a peaceful one I worry and overthink When I go to Christ I stop trying to control everything Then my peace returns       ,covid
84,2020-09-28 22:43:08,peace,Toute une inspiration  #peace #passion #vision  #art #africa #guinea #africanart #guineangirl    #africanbeauty #cinematography #cinematic #talent #mode #model #actor #fixeurdeproductioninde #documentary #love https://instagram.com/p/CFsohauBB1W/?igshid=1rr0869c1p6pf…,,,,KaniCisse,Guinée,89,59,0,peace passion vision art africa guinea africanart guineangirl africanbeauty cinematography cinematic talent mode model actor fixeurdeproductioninde documentary love,peace passion vision art africa guinea african art guinean girl african beauty cinematography cinematic talent mode model actor fix eur de production in de documentary love,Toute une inspiration                        …,Toute une inspiration                        …,Africa
87,2020-09-28 22:34:24,peace,THIS ONE IS EPIC.  #stopErdogan #StopTurkey #StopTurkishAggression #StopAlyev  #StopAzerbaijaniAggression  #ArtsakhStrong #StrongArtsakh    #NKpeace #Armenians #Peace,1.0,,,_dICk_bItTer__,Paradise Lost,145,148,0,stopErdogan StopTurkey StopTurkishAggression StopAlyev StopAzerbaijaniAggression ArtsakhStrong StrongArtsakh NKpeace Armenians Peace,stop erdogan stop turkey stop turkish aggression stop aly ev stop azerbaijani aggression artsakh strong strong artsakh nk peace armenians peace,THIS ONE IS EPIC.                ,THIS ONE IS EPIC                ,Azerbaijan_Armenia
92,2020-09-28 22:28:08,peace,Azerbaijan-Armenia: The World Peace Council expresses deep concern over border tensions  https://idcommunism.com/2020/09/azerbaijan-armenia-world-peace-council-expresses-deep-concern-over-border-tensions.html…  #Azerbaijan #Armenia #World #Peace #NagornoKarabakh,1.0,6.0,15.0,id_communism,"Greece, Europe, World",958,14.2K,0,Azerbaijan Armenia World Peace NagornoKarabakh,azerbaijan armenia world peace nagorno karabakh,Azerbaijan-Armenia: The World Peace Council expresses deep concern over border tensions  …      ,AzerbaijanArmenia The World Peace Council expresses deep concern over border tensions  …      ,Azerbaijan_Armenia
100,2020-09-28 22:18:25,peace,Supporters of #BlackLivesMetter where are you??? #Armenian ‘s people is in #DANGER  #StopAzerbaijaniAggression  #Peace  #Artsakh  #WEWILLWIN,,,,Qristin_Kristin,France,111,97,0,BlackLivesMetter Armenian DANGER StopAzerbaijaniAggression Peace Artsakh WEWILLWIN,black lives metter armenian dangers top azerbaijani aggression peace artsakh we will win,Supporters of  where are you???  ‘s people is in         ,Supporters of  where are you  ‘s people is in         ,Azerbaijan_Armenia
103,2020-09-28 22:13:34,peace,#StopAzerbaijaniAggression #Peace,,,,Qristin_Kristin,France,111,97,0,StopAzerbaijaniAggression Peace,stop azerbaijani aggression peace, , ,Azerbaijan_Armenia
114,2020-09-29 23:48:41,peace,Loved this link: https://mcwglenys.blogspot.com/2020/09/in-quietness-comes-strength.html…. I found it here: https://purposefulfaith.com #inlinkz #linkup #depression #mentalhealth #quarantine #lockdown #peace #covid19 #Jesus #HolySpirit,,,,GlenysRHicks,Australia,594,371,0,inlinkz linkup depression mentalhealth quarantine lockdown peace covid19 Jesus HolySpirit,in linkz link up depression mental health quarantine lockdown peace covid19jesusholy spirit,Loved this link: …. I found it here:           ,Loved this link … I found it here           ,covid
116,2020-09-29 23:43:34,peace,#Trump #Peace,,,,romerojp7,,962,153,0,Trump Peace,trump peace, , ,USA
117,2020-09-29 23:43:27,peace,"Hi!!! I just did (Interrupted by a long call) I took a long nap today. That's probably when you showed up. Also, we have to give each other a day or so to Follow Back before we assume they won't.  #Peace #Trump2020Landslide!",,1.0,2.0,lynnrose789,USA,20.2K,18.7K,0,Peace Trump2020Landslide,peace trump2020 landslide,"Hi!!! I just did (Interrupted by a long call) I took a long nap today. That's probably when you showed up. Also, we have to give each other a day or so to Follow Back before we assume they won't.   !",Hi I just did Interrupted by a long call I took a long nap today Thats probably when you showed up Also we have to give each other a day or so to Follow Back before we assume they wont   ,USA
119,2020-09-29 23:29:06,peace,They fight to #kill  We fight to #live   #ArtsakhStrong #StopErdogan #StopAzerbaijaniAggression #StopTurkey #StopArmenianGenocide #SpeakUpForArtsakh #Peace   #Armenia #Artsakh,,3.0,11.0,LianaPhoenicis,Armenia,360,126,0,kill live ArtsakhStrong StopErdogan StopAzerbaijaniAggression StopTurkey StopArmenianGenocide SpeakUpForArtsakh Peace Armenia Artsakh,kill live artsakh strong stop erdogan stop azerbaijani aggression stop turkey stop armenian genocide speak up for artsakh peace armenia artsakh,They fight to   We fight to              ,They fight to   We fight to              ,Azerbaijan_Armenia
121,2020-09-29 23:17:42,peace,#Armenia is a occupying Terrorist State.  They should leave #Azerbaijani lands.  #Karabakh is always been part of #Azerbaijan   #AzerbaijanIsNotAlone #Pakistan #Turkey #Türkiye #Kashmir #India #UN #UK #EU #NATO #ASIA #AFRICA #USA #AUS #SouthAmerica #NEWS #WAR #PEACE #MHP #AKP,,,,Wow766,,21,15,0,Armenia Azerbaijani Karabakh Azerbaijan AzerbaijanIsNotAlone Pakistan Turkey Türkiye Kashmir India UN UK EU NATO ASIA AFRICA USA AUS SouthAmerica NEWS WAR PEACE MHP AKP,armenia azerbaijani karabakh azerbaijan azerbaijan is not alone pakistan turkey trk iye kashmir india u nuke una to asia africa usa a us south america news war peace mhp akp, is a occupying Terrorist State.  They should leave  lands.   is always been part of                       , is a occupying Terrorist State  They should leave  lands   is always been part of                       ,Azerbaijan_Armenia
