timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-11-21 20:45:52,"b'As couples begin to identify and understand their own ineffective and damaging fight patterns, they are able to challenge and change them. https://t.co/ga77insTGL #conflict #conflictresolution #knowconflict #conflicts #relationships #marriage #couples #partners https://t.co/qCUSbKoRGx'",b'imassoc',"['conflict', 'conflictresolution', 'knowconflict', 'conflicts', 'relationships', 'marriage', 'couples', 'partners']",4143,"Tempe, AZ, USA"
2020-11-21 20:15:03,b'5 Components of a Perfect Scene - @CSLakin | #AuthorTips #POV #Setting #Conflict https://t.co/cVbdnuUeHB',b'ENoyes5246',"['AuthorTips', 'POV', 'Setting', 'Conflict']",6211,Atlanta
2020-11-21 20:05:04,b'\xf0\x9f\x9f\xa3 A Parenting Coordinator (PC) is a  trained professional who helps divorcing parents in conflict communicate &amp; resolve conflict. Ms. Trotter has been a PC since 2001 \xf0\x9f\x94\xb5 https://t.co/BklgrBDAlO #parentingcoordination #conflict #anger #coparenting #trotter #remedies #Tulsa #Ponca',b'greencountryvst',"['parentingcoordination', 'conflict', 'anger', 'coparenting', 'trotter', 'remedies', 'Tulsa', 'Ponca']",145,"Ponca City, OK"
2020-11-21 20:01:05,"b'Do you want to win the job, promotion, or pay increase? Be Bold! Be Audacious! Brag!  https://t.co/GEa6PUkdQ1  #engineering #automotive #sales #habits #team #HR #denver #timemanagement #businessowner #remoteleader #conversations #conflict #teammanagement #successhabits #career https://t.co/KpbwZGn67W'",b'bizsavvycoach',"['engineering', 'automotive', 'sales', 'habits', 'team', 'HR', 'denver', 'timemanagement', 'businessowner', 'remoteleader', 'conversations', 'conflict', 'teammanagement', 'successhabits', 'career']",21518,"Denver, CO"
2020-11-21 19:05:03,b'NYPI will be sharing tips to help you manage conflict this #GivingTuesday. Follow us for more tips and click here to learn how you can give #peace this year: https://t.co/sb66qeCEWz #empathy #donate #fundraise #nyc #conflict #nypi GivingTuesday  @GivingTuesday https://t.co/hZoHga4kWf',b'NewYorkPeace',"['GivingTuesday', 'peace', 'empathy', 'donate', 'fundraise', 'nyc', 'conflict', 'nypi']",12889,"New York, NY"
2020-11-21 18:50:36,"b'If the #Tigray #conflict in #Ethiopia caught you by surprise, here\xe2\x80\x99s an excellent primer: https://t.co/nXNjUEU2Ms'",b'SuzanneGhais',"['Tigray', 'conflict', 'Ethiopia']",150,"Arvada, CO"
2020-11-21 18:43:12,b'Write through the crisis and conflicts you go through in life. For more writing tips visit https://t.co/pkbrcninUF today!  #writer #author #blogger #freelancewriter #writingcommunity #poet #writingtips #writershelpingwriters #fiction #nonfiction #crisis #conflict https://t.co/4nLXBvLSEs',b'DawnZauner',"['writer', 'author', 'blogger', 'freelancewriter', 'writingcommunity', 'poet', 'writingtips', 'writershelpingwriters', 'fiction', 'nonfiction', 'crisis', 'conflict']",241,"Myrtle Beach, SC"
2020-11-21 18:13:01,b'@BagalueSunab The poorest countries will be the hardest hit by #COVID19 already faced #conflict #inequalities #climatechange #corruption CAPE Vulnerability Index #CVI offers a different perspective of how #ForeignAid is utilised #G20 #G20RiyadhSummit  https://t.co/STBvGn4Vvy',b'geopsychiatry',"['COVID19', 'conflict', 'inequalities', 'climatechange', 'corruption', 'CVI', 'ForeignAid', 'G20', 'G20RiyadhSummit']",1025,Europe/USA/Global
2020-11-21 18:07:42,"b'Looking to add to your reading list this winter?  MEI\xe2\x80\x99s book, Escaping the #Conflict Trap: Toward Ending Civil Wars in the #MiddleEast, explores pathways to ending the current civil wars in the Middle East. Available in print and electronically: https://t.co/il6USWMTXk'",b'MiddleEastInst',"['Conflict', 'MiddleEast']",81078,Washington DC
2020-11-21 18:00:32,"b'@10DowningStreet @BorisJohnson #ForeignAid #ODA must do more than respond to humanitarian crises. If allocated properly, this aid can be a powerful tool in preventing #conflict &amp; reversing the trends that contribute to #fragility CAPE Vulnerability Index\xc2\xa0\xc2\xa0#CVI #G20 #G20RiyadhSummit  https://t.co/STBvGn4Vvy'",b'geopsychiatry',"['ForeignAid', 'ODA', 'conflict', 'fragility', 'CVI', 'G20', 'G20RiyadhSummit']",1025,Europe/USA/Global
2020-11-21 17:58:58,b'@g20org The poorest countries will be the hardest hit by #COVID19 already faced with #conflict #inequalities #climatechange #humanrightsviolations #corruption CAPE Vulnerability Index #CVI offers a different perspective of how #ForeignAid is utilised #G20  https://t.co/STBvGn4Vvy',b'geopsychiatry',"['COVID19', 'conflict', 'inequalities', 'climatechange', 'humanrightsviolations', 'corruption', 'CVI', 'ForeignAid', 'G20']",1025,Europe/USA/Global
2020-11-21 17:33:36,b'Thanks @achpr_cadhp to have us @ICRC_Africa participatif in this very interesting exchange on how conflict and #conflict + #climate change impact the most vulnerable ones like #IDP! https://t.co/vNFkVlrKvS',b'Val_Bernasconi',"['conflict', 'climate', 'IDP']",634,Dakar - Sénégal
2020-11-21 17:21:26,"b'""The First One to Scream, Loses - Conflict Management Techniques for Parents"" #ebook https://t.co/CgtwKdoDWo #ChildrensBooks #parenting #lifeskills #feelings #FeelingMyself #spirituality #kidsbooks #selfimprovement #Selfesteem @Asaf_Shani #responsibility #conflict #teens'",b'Asaf_Shani',"['ebook', 'ChildrensBooks', 'parenting', 'lifeskills', 'feelings', 'FeelingMyself', 'spirituality', 'kidsbooks', 'selfimprovement', 'Selfesteem', 'responsibility', 'conflict', 'teens']",55218,World
2020-11-21 17:15:06,"b'How to handle conflict at work, anywhere anytime anybody #conflict #management #leadership #ChangeManagement #ConflictManagement #CrisisInvervention #communication #EmployeeEngagement #RelationshipSkills #SocialSkills #ListeningSkills #conversations https://t.co/LvfNhmrdE4'",b'MikeLehrOZA',"['conflict', 'management', 'leadership', 'ChangeManagement', 'ConflictManagement', 'CrisisInvervention', 'communication', 'EmployeeEngagement', 'RelationshipSkills', 'SocialSkills', 'ListeningSkills', 'conversations']",60552,Northeast Ohio
2020-11-21 17:00:41,b'We have the choice of filling our tanks with love or hate #conflict #PeaceChest https://t.co/wsndteoRRt https://t.co/4JlDnIc73X',b'ksgrossman',"['conflict', 'PeaceChest']",1582,United States
