timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-11-10 21:55:28,"b'Please join our zoom webinar panel discussing Sports and Peace, on Thursday, November 12, 11:00 am - 12:30 pm Washington DC time https://t.co/vthXWBK0g3 We can all contribute to make the world a more tolerant and peaceful place  #sports #Peace #conflict https://t.co/TK1nX2X8n8'",b'vladspencer',"['sports', 'Peace', 'conflict']",150,Washington DC
2020-11-10 19:37:40,b'This is a good message by the way #AbiyAhmedAli #TPLF #Ethiopia #conflict #peace #negociation https://t.co/MRpwxQw2Rn',b'Jemaln',"['AbiyAhmedAli', 'TPLF', 'Ethiopia', 'conflict', 'peace', 'negociation']",92,"Addis Ababa,Ethiopia"
2020-11-10 06:39:11,b'Armenia capitulated! The #war between #Armenia and #Azerbaijan is over. Armenian PM announced on #Facebook that he has signed an #Peace agreement brokered by #Russia with #Azerbaijan to end the #NogornoKarabakh #conflict.   WE WON ELHAMD\xc3\x9cL\xc4\xb0LLAH  \xf0\x9f\x87\xa6\xf0\x9f\x87\xbf  https://t.co/TCHTHHy1mW',b'mkk6701',"['war', 'Armenia', 'Azerbaijan', 'Facebook', 'Peace', 'Russia', 'Azerbaijan', 'NogornoKarabakh', 'conflict']",13,"Hyderabad, India"
2020-11-09 15:36:27,"b'Meet Jennifer Ezekwem, she is a member of the Partners for Peace (P4P) in the #NigerDelta, Imo state chapter.   She is a seasoned #peace builder and has used her experience in #conflict resolution to mitigate conflict and build peace within her community and across Imo state  1/2 https://t.co/B3Nhopunsz'",b'PINDFoundation',"['NigerDelta', 'peace', 'conflict']",5495,Niger Delta
2020-11-09 14:56:49,"b'[Weekly Report] #Syria Crisis Horizon. #AI-Powered Crisis Indicators, Unique assessment, archive and up-to-date map. Click for PDF download. Stay tuned for the latest developments. https://t.co/7faQ3VOJnp  #MiddleEast #conflict #civilwar #peace'",b'BehorizonOrg',"['Syria', 'AI', 'MiddleEast', 'conflict', 'civilwar', 'peace']",1778,Belgium
2020-11-09 12:34:58,"b'NEXT THURSDAY Join the last #LeadersLink of the year  \xf0\x9f\x8e\x99\xef\xb8\x8fAli Abu Awwad, @FriendsTaghyeer, will speak about his leadership in nonviolent conflict resolution between Palestinians and Israelis  Register + invite others\xf0\x9f\x91\x87 https://t.co/cyHQJQRdfv #leadership #activism #conflict #Peace'",b'LeadersQuest',"['LeadersLink', 'leadership', 'activism', 'conflict', 'Peace']",2371,
2020-11-09 11:56:54,"b""Disagreement's not the giant people make of it. Heart-connection makes it look small. #peace #healing #relationship #unity #united #politics #fighting #conflict #Elections2020 #MondayMorning #friendship #community #Americans #US #OneNation #love #loveoneanother #friends #Caring""",b'CSteveSimms',"['peace', 'healing', 'relationship', 'unity', 'united', 'politics', 'fighting', 'conflict', 'Elections2020', 'MondayMorning', 'friendship', 'community', 'Americans', 'US', 'OneNation', 'love', 'loveoneanother', 'friends', 'Caring']",4402,"Nashville, Tennessee, USA"
2020-11-09 11:44:52,"b'This can lead to #civil #conflict since the losers may find it difficult to accept the result of an election. This is especially significant since a small shift in the votes can completely reverse the result.  As is frequently observed, elections rarely lead to lasting #peace.'",b'justgeorgeous2',"['civil', 'conflict', 'peace']",325,"Perth, Western Australia"
2020-11-09 03:49:45,"b'#peace is not absence of conflict, it is the ability to handle #conflict by #peaceful means.  -   #ronaldregan  #YouTube #painting #LINK  https://t.co/sVlV9g3iBt  #YouTuber #art #artists #painting #MondayMotivation #MondayMood #MondayVibes #mondaythoughts #MondayMorning https://t.co/Gs5TK8jkY6'",b'wepaint_life',"['peace', 'conflict', 'peaceful', 'ronaldregan', 'YouTube', 'painting', 'LINK', 'YouTuber', 'art', 'artists', 'painting', 'MondayMotivation', 'MondayMood', 'MondayVibes', 'mondaythoughts', 'MondayMorning']",219,
2020-11-08 15:49:09,b'As a #peace and #conflict  studies and #conflictresolution guy it is heartening to hear these voices calling for reconciliation https://t.co/x0o0mWBcsa',b'paul_duffill',"['peace', 'conflict', 'conflictresolution']",56,
