timestamp,tweet_text,username,all_hashtags,followers_count
2020-11-10 21:55:28,"b'Please join our zoom webinar panel discussing Sports and Peace, on Thursday, November 12, 11:00 am - 12:30 pm Washington DC time https://t.co/vthXWBK0g3 We can all contribute to make the world a more tolerant and peaceful place  #sports #Peace #conflict https://t.co/TK1nX2X8n8'",b'vladspencer',"['sports', 'Peace', 'conflict']",150
2020-11-10 21:38:38,b'#antigovernmentprotest: ------------- PERU: Protests were held in various cities after the decision of the Peruvian Congress to impeach... ------------- Tags: #protest #massprotest #conflict #conflictnews #politics #Peru #MartinVizcarra https://t.co/LB5lgSSYoV',b'globalgeopolit1',"['antigovernmentprotest', 'protest', 'massprotest', 'conflict', 'conflictnews', 'politics', 'Peru', 'MartinVizcarra']",323
2020-11-10 20:42:49,"b'#geopolitical: ------------- NAGORNO-KARABAKH: Armenia has signed a peace deal with Azerbaijan and Russia, bringing... ------------- Tags: #geopolitic #geopoliticalconflict #conflict #conflictnews #politics #NagornoKarabakh #Azerbaijan #Armenia #peacedeal https://t.co/DNEhhDPy2F'",b'globalgeopolit1',"['geopolitical', 'geopolitic', 'geopoliticalconflict', 'conflict', 'conflictnews', 'politics', 'NagornoKarabakh', 'Azerbaijan', 'Armenia', 'peacedeal']",323
2020-11-10 20:30:24,"b'People get uncomfortable when someone is angry, but it may provide advantages in conflict engagement. https://t.co/tN5R7zRn4c #anger #conflict #success #positiveanger #emotion #eq #respectfullydisagree #respectfuldisagreement #angermanagement #conflictengagement https://t.co/DH5Fav6wVU'",b'imassoc',"['anger', 'conflict', 'success', 'positiveanger', 'emotion', 'eq', 'respectfullydisagree', 'respectfuldisagreement', 'angermanagement', 'conflictengagement']",4103
2020-11-10 20:16:06,"b'If you hate #conflict as much as I do, you may be interested in learning how I made this shift. For years, every time I encountered serious conflict, I did two things &gt;&gt;&gt; https://t.co/GwCr1bwFFE #conflictmanagement https://t.co/D8MEcGBMB0'",b'JeannieClarkson',"['conflict', 'conflictmanagement']",12185
2020-11-10 20:15:24,b'Toxic people threaten our inner peace. Manage interactions better with these 7 strategies. https://t.co/xBEHR9jUfW #conflict #conflictresolution #rude #toxicpeople #eq #peaceful #peacefulsolutions #toxic #listen #listeningskills #solveit https://t.co/YYVryJc1RK https://t.co/VEcTSdvLqY',b'imassoc',"['conflict', 'conflictresolution', 'rude', 'toxicpeople', 'eq', 'peaceful', 'peacefulsolutions', 'toxic', 'listen', 'listeningskills', 'solveit']",4103
2020-11-10 20:02:10,b'Did you know that your bad habits can get in the way of your success? https://t.co/a9rDdEYGtt  #engineering #automotive #sales #habits #team #HR #denver #timemanagement #businessowner #remoteleader #conversations #conflict #teammanagement #teamresults #successhabits https://t.co/QulOaP6Aka',b'bizsavvycoach',"['engineering', 'automotive', 'sales', 'habits', 'team', 'HR', 'denver', 'timemanagement', 'businessowner', 'remoteleader', 'conversations', 'conflict', 'teammanagement', 'teamresults', 'successhabits']",21505
2020-11-10 19:42:23,"b'Farmer-herder #conflict: open your eyes, change the narrative, find solutions, via @IIED https://t.co/1Os1LUVKoj   #pastoralism'",b'PENHANetwork',"['conflict', 'pastoralism']",347
2020-11-10 19:40:32,b'A Plan to Divide the Family Business via @WSJ https://t.co/uJl9iuGrNP #FamilyBusiness #FamBiz #EstatePlanning #Conflict',b'FamBizDoctor',"['FamilyBusiness', 'FamBiz', 'EstatePlanning', 'Conflict']",13176
2020-11-10 19:37:40,b'This is a good message by the way #AbiyAhmedAli #TPLF #Ethiopia #conflict #peace #negociation https://t.co/MRpwxQw2Rn',b'Jemaln',"['AbiyAhmedAli', 'TPLF', 'Ethiopia', 'conflict', 'peace', 'negociation']",92
2020-11-10 19:19:37,"b'#Farmer-#herder #conflict: open your eyes, change the narrative, find solutions.  New #research uproots deep-set trend to help understand increasing #violence in #dryland #Africa through the lens of \xe2\x80\x98farmer-herder conflict\xe2\x80\x99.   via @IIED https://t.co/k9VIBDNhMx'",b'DannyWijnhoud',"['Farmer', 'herder', 'conflict', 'research', 'violence', 'dryland', 'Africa']",6602
2020-11-10 18:21:28,b'\xe2\x80\x98Weapons not only damage human bodies but also human minds\xe2\x80\x99 @alma_osta  on persons with #disabilities in situations of armed #conflict. https://t.co/C8e6bQlv19 @BalsillieSIA @ploughshares_ca @Conrad_Grebel @UWaterloo',b'LAgeeva',"['disabilities', 'conflict']",69
2020-11-10 18:07:40,b'#IHL offers protection to persons with #disabilities in situations of armed #conflict. What is hard to fight is perception of disability - Maj Simon Mailloux @BalsillieSIA @ploughshares_ca @Conrad_Grebel @UWaterloo',b'LAgeeva',"['IHL', 'disabilities', 'conflict']",69
2020-11-10 18:01:35,b'Khalifa Haftar retained the ability to block oil exports in Libya. https://t.co/2ss02AUhjL  #Africa #NorthAfrica #Libya #Tripoli #Maghreb #MENA #security #defence #defense #oilandgas #oil #energy #KhalifaHaftar #Haftar #LibyanNationalArmy #LNA #conflict #exports #oilexports #war https://t.co/EFk2QA3jUj',b'GIS_Reports',"['Africa', 'NorthAfrica', 'Libya', 'Tripoli', 'Maghreb', 'MENA', 'security', 'defence', 'defense', 'oilandgas', 'oil', 'energy', 'KhalifaHaftar', 'Haftar', 'LibyanNationalArmy', 'LNA', 'conflict', 'exports', 'oilexports', 'war']",6611
2020-11-10 17:14:36,b'Armenia - Azerbaijan and Armenia agree full ceasefire in Nagorno-Karabakh.  Armenia and Azerbaijan have signed a ceasefire agreement.  #armenia #azerbaijan #news #ceasefire #agreement #conflict #territory #security #praesidioltd   https://t.co/ICFNd5r3xc https://t.co/TaZQQDQnds',b'PraesidioLtd',"['armenia', 'azerbaijan', 'news', 'ceasefire', 'agreement', 'conflict', 'territory', 'security', 'praesidioltd']",53
