timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-11-10 21:45:08,"b'Remberance Day! A beautiful day to reflect and remember those who gave their lives in #war, those who returned and still serving #veterans #members #peace  #blueskues #ocean https://t.co/Hs6igfrjSs'",b'no_2violence',"['war', 'veterans', 'members', 'peace', 'blueskues', 'ocean']",459,
2020-11-10 20:28:36,b'A genuine unconditional dialogue is the best solution to #end the senseless #war in Southern Cameroons @antonioguterres. #ACTIONS are highly needed right now @UN. The people of Southern Cameroons aka Ambazonia deserve #JUSTICE and #PEACE https://t.co/t90qRq73VZ',b'nkwai_etoo',"['end', 'war', 'ACTIONS', 'JUSTICE', 'PEACE']",100,
2020-11-10 20:22:25,"b'Link to a 2014 interactive article in The Atlantic https://t.co/4cc9p99xdd It\xe2\x80\x99s awe-inspiring, reminds us of the horrors of #war and underlines the importance of finding non-violent solutions for human strife. Visit my website and check out #Peace https://t.co/MEum0nvTud'",b'ourspiritualnu',"['war', 'Peace']",58,
2020-11-10 20:08:05,b'2ND TERM #TRUMP  https://t.co/DId31qJ3e3  #TrumpTrain2020  #America  #policy  #ForeignPolicy  #transition  #peace   First #President in 39 #years to not #continue or start #war',b'SatchelScroll',"['TRUMP', 'TrumpTrain2020', 'America', 'policy', 'ForeignPolicy', 'transition', 'peace', 'President', 'years', 'continue', 'war']",2,"Hollywood, Los Angeles"
2020-11-10 19:24:52,b'Does Dr. Harris wants to return to #Bush-era #PreventiveWar and #Obama-era #DroneStrikes (including killing U.S. citizens without due process) and #MilitaryIntervention in even more #Muslim countries?  #Atheism #SamHarris #Obama #Biden #War #Trump #Peace #Israel #NorthKorea #Iran https://t.co/syXcOdXCdX',b'ArcEng9154644',"['Bush', 'PreventiveWar', 'Obama', 'DroneStrikes', 'MilitaryIntervention', 'Muslim', 'Atheism', 'SamHarris', 'Obama', 'Biden', 'War', 'Trump', 'Peace', 'Israel', 'NorthKorea', 'Iran']",212,"Bronx, New York"
2020-11-10 18:20:47,"b'The truth always sets us free, @marshallrobby! #Lust has caused #War. #Love has caused #Peace. A #sad history for our world is the result. \xe2\x98\xae\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f https://t.co/E0lstAZkiV'",b'PartyofAmericas',"['Lust', 'War', 'Love', 'Peace', 'sad']",5101,"Montreal, Québec, Canada"
2020-11-10 17:30:59,b'@JulianRoepcke #Putin and #Erdogan were able to end the #war and establish #peace. #Karabakh #Azerbaijan #Armenia',b'Heather81568936',"['Putin', 'Erdogan', 'war', 'peace', 'Karabakh', 'Azerbaijan', 'Armenia']",449,
2020-11-10 16:59:21,"b'Mine stood among the porch and consoling. Until the handkerchief?  - War, Peace and Romance of Lust  #War #Peace #Tolstoy #romance'",b'markovian_lit',"['War', 'Peace', 'Tolstoy', 'romance']",512,
2020-11-10 16:49:35,"b'#RemembranceDay2020 November 11 - ""We will Remember Them""  Letters from WWII @CaramelParsley https://t.co/f2mGxELrl9 #War #Peace https://t.co/bF3BxXrHrV'",b'CaramelParsley',"['RemembranceDay2020', 'War', 'Peace']",421,"Vancouver, BC"
2020-11-10 16:29:43,"b'@JordanElgrably Paris or elsewhere, sadly Homo sapiens are still very #tribal. Many nations prefer #war &amp; bloodshed over peace if #peace means compromise. Pictures today show #Armenian protesters occupy Parliament after government agreed to a #truce with #Azerbaijan  #NagornoKarabakh #evolution https://t.co/ykZs3blNMx'",b'RayArmat',"['tribal', 'war', 'peace', 'Armenian', 'truce', 'Azerbaijan', 'NagornoKarabakh', 'evolution']",77,"Philadelphia, PA"
2020-11-10 16:26:28,b'@henriferon @VFPNational On Biases: Homo sapiens are still #tribal. Today #Armenian protesters mobilized by #socialmedia occupy Parliament after government agreed to a #truce with #Azerbaijan Many nations prefer #war &amp; bloodshed over peace if #peace means compromise.  #NagornoKarabakh #evolution https://t.co/anOKm04XFL',b'RayArmat',"['tribal', 'Armenian', 'socialmedia', 'truce', 'Azerbaijan', 'war', 'peace', 'NagornoKarabakh', 'evolution']",77,"Philadelphia, PA"
2020-11-10 16:23:48,b'@NickKristof Homo sapiens are still very #tribal. Many nations prefer #war &amp; bloodshed over peace if #peace means compromise. Pictures today show #Armenian protesters occupy Parliament after government agreed to a #truce with #Azerbaijan  #NagornoKarabakh #evolution https://t.co/QMlZ2MAitW',b'RayArmat',"['tribal', 'war', 'peace', 'Armenian', 'truce', 'Azerbaijan', 'NagornoKarabakh', 'evolution']",77,"Philadelphia, PA"
2020-11-10 16:22:03,b'@sebastianjunger Homo sapiens are still very #tribal. Many nations prefer #war &amp; bloodshed over peace if #peace means compromise. Pictures today show #Armenian protesters occupy Parliament after government agreed to a #truce with #Azerbaijan  #NagornoKarabakh #evolution https://t.co/dBNbw7pDte',b'RayArmat',"['tribal', 'war', 'peace', 'Armenian', 'truce', 'Azerbaijan', 'NagornoKarabakh', 'evolution']",77,"Philadelphia, PA"
2020-11-10 16:21:41,"b'@codepink Sadly, Homo sapiens are still very #tribal. Many nations prefer #war &amp; bloodshed over peace if #peace means compromise. Pictures today show #Armenian protesters occupy Parliament after government agreed to a #truce with #Azerbaijan  #NagornoKarabakh #evolution @sebastianjunger https://t.co/qEx9YQEu7i'",b'RayArmat',"['tribal', 'war', 'peace', 'Armenian', 'truce', 'Azerbaijan', 'NagornoKarabakh', 'evolution']",77,"Philadelphia, PA"
2020-11-10 16:20:56,b'@patob7 Homo sapiens are still very #tribal. Many nations prefer #war &amp; bloodshed over peace if #peace means compromise. Pictures today show #Armenian protesters occupy Parliament after government agreed to a #truce with #Azerbaijan  #NagornoKarabakh #evolution https://t.co/1V5zlm26pY',b'RayArmat',"['tribal', 'war', 'peace', 'Armenian', 'truce', 'Azerbaijan', 'NagornoKarabakh', 'evolution']",77,"Philadelphia, PA"
2020-11-10 16:18:44,b'Homo sapiens are still very #tribal. Many nations prefer #war &amp; bloodshed over peace if #peace means compromise. Pictures today show #Armenian protesters occupy Parliament after government agreed to a #truce with #Azerbaijan  #NagornoKarabakh #evolution @sebastianjunger https://t.co/wbfRmQAYq4',b'RayArmat',"['tribal', 'war', 'peace', 'Armenian', 'truce', 'Azerbaijan', 'NagornoKarabakh', 'evolution']",77,"Philadelphia, PA"
2020-11-10 15:24:58,"b""They manipulate YOU! War is for the benefit of the filthy rich and powerful. The rested of us are cannon fodder. Life is precious. Don't fight their wars. War is over if you want it. #Peace #pacifism #war #Remembrance https://t.co/rXXIiY3kPu""",b'thePaulGarrard',"['Peace', 'pacifism', 'war', 'Remembrance']",312,Perfidious Albion
2020-11-10 14:59:24,b'Preview of tomorrow\xe2\x80\x99s post Reflection: Unprecedented Peace By John Tillman Going all in on war is the default setting. #Unprecedented #Peace #War #Joel3 #PlowsharesIntoSwords #SwordsIntoPlowshares  - https://t.co/hjWCBlYxoy https://t.co/JB1R8Nb09J',b'TheParkForum',"['Unprecedented', 'Peace', 'War', 'Joel3', 'PlowsharesIntoSwords', 'SwordsIntoPlowshares']",4256,
2020-11-10 14:59:17,"b'Ah! War does with involuntary vexation. Imperial family.  - War, Peace and Dracula  #War #Peace #Tolstoy #BramStoker #Dracula'",b'markovian_lit',"['War', 'Peace', 'Tolstoy', 'BramStoker', 'Dracula']",512,
