timestamp,hashtags,tweets,replies,retweets,likes,username,location,friends,followers,verified,all_hashtags,all_hashtags_seg
2020-11-01 23:59:19,peace,"To all whom I loved in this #life and to all those whose lives came before mine, I remember you on this #AllSaintsDay and #pray that your souls have found eternal #peace with #God, our #Father in #Heaven.",,,,metsbookworm973,"Inverness, FL",600,520,0,life AllSaintsDay pray peace God Father Heaven,life all saints day pray peace godfather heaven
2020-11-01 23:51:15,peace,"You can't be strong all the time. Sometimes you just need to be alone and let your tears out.
#peace",,,,Zzaqwan02,,4,3,0,peace,peace
2020-11-01 23:46:27,peace,"Meu teto é o céu!!
#chapadadosveadeiros #sky #sol #peace #vibes #goodvibes em Chapada dos Veadeiros https://instagram.com/p/CHESy0iD3JR/?igshid=11ooaq74f367r…",,,1,valtissimos,Goiânia - Goiás - Brasil,290,104,0,chapadadosveadeiros sky sol peace vibes goodvibes,chapada dosveadeirosskysol peace vibes good vibes
2020-11-01 23:41:04,peace,#cubans #Latinos #Hispanics #blackvoter this #ElectionDay is in your hands we must stop #racism  #hate ; #divide go #vote  do not let what happened in #Texas ; #NorthCarolina become acceptable! Your voting will bring #peace ; #unity march to polls on 11/3 to stop #trump,3.0,1,1,plzhelpkids,"Anywhere, usa",900,157,0,cubans Latinos Hispanics blackvoter ElectionDay racism hate divide vote Texas NorthCarolina peace unity trump,cubans latinos hispanics black voter election day racism hate divide vote texas north carolina peace unity trump
2020-11-01 23:38:00,peace,Teach #peace,,,1,RODRIGObessa,"Belo Horizonte, Brasil","4,557","3,926",0,peace,peace
2020-11-01 23:35:30,peace,"#IamAli #MuhammadAli #Hero #Muslim #USWarCrimes #Vietnamwar
#MuhammadAli said #no to #Vietnamwar #Peace #Nothate",,,,Amna19977133,,535,226,0,IamAli MuhammadAli Hero Muslim USWarCrimes Vietnamwar MuhammadAli no Vietnamwar Peace Nothate,i a mali muhammad ali hero muslim us war crimes vietnam war muhammad ali no vietnam war peace not hate
2020-11-01 23:35:23,peace,More each day I’m realizing I enjoy just my company more than anything. I can be making crafts..binging shows...planning for my business...I just like to be alone. #peace,1.0,,4,dajahdollin,Bahamas,467,626,0,peace,peace
2020-11-01 23:29:21,peace,"Autumn and winter is the optimum season for cooking tea in charcoal.
.
.
.
#autumn #cool #stove #kettle #claypot #teapot #teaboat #tearake #silver #bamboo #lamber #chrysophoron #beauty #flowey #fashionstyle #joyful #interesting #fineart #peace #halloween #happyquotes #morimatea",,1,1,morimatea,"福建, 中华人民共和国",191,246,0,autumn cool stove kettle claypot teapot teaboat tearake silver bamboo lamber chrysophoron beauty flowey fashionstyle joyful interesting fineart peace halloween happyquotes morimatea,autumn cool stove kettle clay pot teapot tea boat tea rake silver bamboo l amber chryso ph or on beauty flow ey fashion style joyful interesting fine art peace halloween happy quotes mori mate a
2020-11-01 23:25:00,peace,"#VOTE 
#Election2020 
#Nov3rd 
#VoteEarly 
#vote #LanciaForCongress 
@BobLancia #CONGRESS CD 2
#RHODEISLAND 
#AmericaIsForEveryone
#Sunrise
#sunset
#everyday
#today
#tommorrow 
#freedom
#unitedstates
#liberty
#peace",,1,3,Lancia4Congress,"Rhode Island, USA","2,162",556,0,VOTE Election2020 Nov3rd VoteEarly vote LanciaForCongress CONGRESS RHODEISLAND AmericaIsForEveryone Sunrise sunset everyday today tommorrow freedom unitedstates liberty peace,vote election 2020nov3rdvote early vote lancia for congress congress rhode island america is for everyone sunrise sunset every day today tommorrow freedom united states liberty peace
2020-11-01 23:23:44,peace,#IFOSK8MONEY #HIPHOP #IAMHIPHOP #MANGA #ANIME #ART #AMSTERDAM #NOWPLAYING #HIPHOPWRLD #HIPHOPWORLD #PROPAGANDA #CULT #BESTMEMES #FUNNYMEMES #FIRE #LIT #HAHA #VIRAL #PEACE #LOVE #PARTY (at Amsterdam)... https://tmblr.co/ZW5QRvZB5wcf8y00…,,,2,MICKEY38424797,AMSTERDAM CITY,56,78,0,IFOSK8MONEY HIPHOP IAMHIPHOP MANGA ANIME ART AMSTERDAM NOWPLAYING HIPHOPWRLD HIPHOPWORLD PROPAGANDA CULT BESTMEMES FUNNYMEMES FIRE LIT HAHA VIRAL PEACE LOVE PARTY,ifosk8moneyhiphopiam hip hop manga anime art amsterdam now playing hip hop wrld hip hop world propaganda cult best memes funny memes fire lit haha viral peace love party
