timestamp,tweet_text,username,all_hashtags,followers_count,location
2020-11-21 21:05:22,"b""#Afghanistan War #Exposed: An Imperial Conspiracy   Afghanistan #War, from the #CIA construct of the 80's through today's senseless stalemate. Two decades, three administrations, tens of thousands of lives; it's time to #EndTheForeverWar.  https://t.co/gBuA7ESLB1""",b'sweposten',"['Afghanistan', 'Exposed', 'War', 'CIA', 'EndTheForeverWar']",1822,"Hyderabad, India"
2020-11-21 21:05:03,b'#Senior #Humor - Future #War Stories https://t.co/Fpbv5ZxL5b',b'ENoyes5246',"['Senior', 'Humor', 'War']",6211,Atlanta
2020-11-21 21:03:14,"b'@BinCoronavirus End the #War on #Yemen    The #US, #EU and UK have readily supplied the #Saudi  forces despite clear evidence of mass civilian casualties and purposeful #starvation of the #Yemeni populace akin to #genocide. @40_Ronda   https://t.co/0BzLiqvl4l'",b'sweposten',"['War', 'Yemen', 'US', 'EU', 'Saudi', 'starvation', 'Yemeni', 'genocide']",1822,"Hyderabad, India"
2020-11-21 21:02:03,"b'@TorontoPearson ""rally"" coming soon. Stand by for details. #war'",b'RadBoonMising',['war'],3,
2020-11-21 21:01:57,"b'#Iran has #condemned Saturday\'s #rocket #attacks in #Kabul calling it ""an example of #proxy #war"" in war-torn Afghanistan. A statement by Foreign Ministry spokesman #Khatibzadeh said the responsibility for the #attacks rests directly on the #UnitedStates. https://t.co/JWbHy5WChh'",b'anewscomtr',"['Iran', 'condemned', 'rocket', 'attacks', 'Kabul', 'proxy', 'war', 'Khatibzadeh', 'attacks', 'UnitedStates']",29663,
2020-11-21 21:01:23,"b'End the #War on #Yemen    The #US, #EU and UK have readily supplied the #Saudi  forces despite clear evidence of mass civilian casualties and purposeful #starvation of the #Yemeni populace akin to #genocide.   https://t.co/0BzLiqvl4l https://t.co/H49dZKANvw'",b'sweposten',"['War', 'Yemen', 'US', 'EU', 'Saudi', 'starvation', 'Yemeni', 'genocide']",1822,"Hyderabad, India"
2020-11-21 20:59:22,b'\xf0\x9d\x91\xbe\xf0\x9d\x92\x93\xf0\x9d\x92\x86\xf0\x9d\x92\x94\xf0\x9d\x92\x8d\xf0\x9d\x92\x8a\xf0\x9d\x92\x8f\xf0\x9d\x92\x88 \xf0\x9d\x92\x85\xf0\x9d\x92\x82\xf0\x9d\x92\x9a \xf0\x9f\xa4\xbc\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f  #TeamAb #Btt #Obyfight \xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94\xe2\x80\x94- #wresling #mma #lutte #sambo #judo #grappling #heavyweight #fighter #fight #training #deltaproduction #sport #athlete #war #khabibnurmagomedov #ufc #megdan #serbia https://t.co/TrFIsSSMbA',b'Therealboulox',"['TeamAb', 'Btt', 'Obyfight', 'wresling', 'mma', 'lutte', 'sambo', 'judo', 'grappling', 'heavyweight', 'fighter', 'fight', 'training', 'deltaproduction', 'sport', 'athlete', 'war', 'khabibnurmagomedov', 'ufc', 'megdan', 'serbia']",28,
2020-11-21 20:56:56,b'The noise.. the signal... stay focused. #WAR https://t.co/A6wUsVDzrH',b'DudemanC_Rad',['WAR'],461,
2020-11-21 20:50:20,b'@SBSNews Saudi hosted... there\xe2\x80\x99s the first problem.  #Yemen  #HumanitarianCrisis #Famine #War  https://t.co/4tTrSa81sC',b'Takurua2',"['Yemen', 'HumanitarianCrisis', 'Famine', 'War']",915,
2020-11-21 20:47:42,"b'The Dayton Accords was reached on this date in 1995. The presidents of three rival Balkan states \xe2\x80\x94 #Bosnia, #Serbia, and #Croatia \xe2\x80\x94 met at Wright-Patterson Air Force Base on the outskirts of Dayton, Ohio, to try to hammer out an agreement to end the #war in Bosnia.'",b'pauljimerson',"['Bosnia', 'Serbia', 'Croatia', 'war']",8217,"Santa Cruz, California"
